asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B0BJDR3LSC,"MALINERO Black Faux Leather Whip 18"" Feather Tickler 15"" Set - Equestrian Horse Riding Whip - Horse Whip Set",https://m.media-amazon.com/images/I/81WZ-gyWkBL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BJDR3LSC,4.3,55,18.0,23.5,Sex  Sensuality Products,True,200,Beauty & Personal Care,5.5,23.404255319148938
B01C52YDVC,Hanging On Door Bondage Sex Swing,https://m.media-amazon.com/images/I/613g+i2FGvL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01C52YDVC,4.1,1300,24.61,31.83,Sex  Sensuality Products,True,50,Beauty & Personal Care,7.219999999999999,22.68300345585925
B07W18WNM8,"Urethral Sounds, 6 PCS Set Silicone Penis Plug Multi Beads Urethral Dilator Masturbation Rod Bladder Stimulation for Men",https://m.media-amazon.com/images/I/51KkOUXk09L._AC_UL320_.jpg,https://www.amazon.ca/dp/B07W18WNM8,3.8,114,18.99,23.47,Sex  Sensuality Products,True,50,Beauty & Personal Care,4.48,19.08819769919046
B082Y114TB,"Muscle Massage Gun Deep Tissue Percussion Massager - Handheld Electric Body Massagers Sports Drill for Athletes Pain Relief&Relax, Super Quiet Motor Cordless,20 Speed Level, Wattne W2 Black",https://m.media-amazon.com/images/I/61tCaHhNMfL._AC_UL320_.jpg,https://www.amazon.ca/dp/B082Y114TB,4.5,16138,89.99,139.99,Wellness,True,3000,Health & Wellness & Baby Products,50.000000000000014,35.716836916922645
B00SMJIYNG,"TheraFlow Foot Massager, Foot Roller for Plantar Fasciitis Relief, Foot Pain Relief Massage, Neuropathy Pain, Stress Relief - Relaxation Gifts for Women, Men, Reflexology Tool - Wooden (Large)",https://m.media-amazon.com/images/I/813WDOUjG5L._AC_UL320_.jpg,https://www.amazon.ca/dp/B00SMJIYNG,4.4,27076,23.99,32.95,Wellness,True,600,Health & Wellness & Baby Products,8.960000000000004,27.19271623672232
B08PBM1C2F,"AggAuto Universal 40 inchx13 inch Car Grill Mesh - Aluminum Alloy Automotive Grille Insert Bumper 6x12mm Rhombic Hole, One of the Most Multifunctional Shape Grids 100x33cm Black",https://m.media-amazon.com/images/I/81RZZxicwlL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08PBM1C2F,4.3,3136,19.99,25.99,"Paint, Body  Trim Products",True,50,Automotive,6.0,23.08580223162755
B000V0F5E0,DARON United 747 Single Plane,https://m.media-amazon.com/images/I/71XTJWqorML._AC_UL320_.jpg,https://www.amazon.ca/dp/B000V0F5E0,4.5,1132,21.83,23.14,Toy Vehicles,True,50,Toys & Games,1.3100000000000023,5.661192739844435
B09LR3R78C,Men's Sherpa Lined Full Zip Hooded Plaid Flannel Shirt Jacket,https://m.media-amazon.com/images/I/714DDQCkTZL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09LR3R78C,4.4,2730,55.06,60.99,Men's Clothing,True,0,Fashion,5.93,9.722905394326938
B01JQTN8SQ,"Mens Classic-fit 9"" Short",https://m.media-amazon.com/images/I/81fkJi+uIiL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01JQTN8SQ,4.3,38739,26.0,28.3,Men's Clothing,True,0,Fashion,2.3000000000000007,8.127208480565374
B0B2RGCC5D,Men's Casual Business Vests Lightweight Waistcoat Slim Fit Suit Vest,https://m.media-amazon.com/images/I/81NFjmn5TTL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0B2RGCC5D,4.2,243,39.99,45.99,Men's Clothing,True,0,Fashion,6.0,13.04631441617743
